Field,Description,Use,Pass,Rec,Rush,Type,Tag,Binary,Numeric,String,ID,Prob,EPA,WPA,(Check)
lateral_receiver_player_id,Unique identifier for the player that received the lateral on a reception.,,,,,ID,uninteresting,0,0,0,1,0,0,0,1
lateral_rusher_player_id,Unique identifier for the player that received the lateral on a run.,,,,,ID,uninteresting,0,0,0,1,0,0,0,1
lateral_sack_player_id,Unique identifier for the player that received the lateral on a sack.,,,,,ID,uninteresting,0,0,0,1,0,0,0,1
fumble_recovery_1_yards,Yards gained by one of the players with a fumble recovery.,,,,,Numeric,uninteresting,0,1,0,0,0,0,0,1
fumble_recovery_2_yards,Yards gained by one of the players with a fumble recovery.,,,,,Numeric,uninteresting,0,1,0,0,0,0,0,1
pass_length,String indicator for pass length: short or deep.,,,,,String,uninteresting,0,0,1,0,0,0,0,1
pass_location,"String indicator for pass location: left, middle, or right.",,,,,String,uninteresting,0,0,1,0,0,0,0,1
penalty_player_name,String name for the player with the penalty.,,,,,String,uninteresting,0,0,1,0,0,0,0,1
run_gap,"String indicator for line gap of run: end, guard, or tackle",,,,,String,uninteresting,0,0,1,0,0,0,0,1
run_location,"String indicator for location of run: left, middle, or right.",,,,,String,uninteresting,0,0,1,0,0,0,0,1
side_of_field,String abbreviation for which team's side of the field the team with possession is currently on.,,,,,String,uninteresting,0,0,1,0,0,0,0,1
